name,address,domain,url,title,query,phones,emails,contact_page,logo_url,booking_links,g_name,g_address,g_rating,g_user_ratings_total,g_photo_count,g_google_place_url,g_place_id,g_website,social_facebook,social_linkedin,social_instagram,social_twitter,social_platform_count,social_metrics_signal,social_activity_signal,directory_citation_signal,reviews_yelp_signal,reviews_legal_directory_signal,reviews_facebook_signal,review_velocity_per_day,latest_review_date,domain_authority,backlink_signal,h1,meta_description,word_count,internal_links,external_links,image_count,alt_coverage_pct,schema_present,robots_txt,sitemap_xml,indexed_pages_estimate,traffic_estimate,hiring_signal,hiring_signals,hiring_growth_signal,ads_signal,ads_signals,ads_library_signal,pricing_page_url,photo_count,photo_frequency_per_day,hunter_email_count,hunter_emails,hunter_verified,competitor_score,confidence_score,tier,source,collected_at,collection_date,directory_count,google_place_url,rating,reviews_bbb_signal,reviews_google_signal,user_ratings_total
Fasig | Brooks Law Offices,"301 W Bay St Ste 1471-72, Jacksonville, FL 32202, USA",bcgsearch.com,https://www.bcgsearch.com/bestlawfirms/loc-2691519/florida/jacksonville,"Best Law Firms in Jacksonville, FL | BCGSearch.com",law firms jacksonville fl,2019120907 | 2020092907 | 14355322633 | 800-298-6440 | 1013579994 | 540497.2641 | 545412.8440 | 499215.4706 | 757810.3112 | 443590.9115 | 207776.2119 | 774715.6533 | 476712.1288 | 680628.2255 | 631144.4780 | 785717.4721 | 1514332.8699 | 922315.5718 | 842134.0670 | 809453.9376 | 809464.7202 | 1524100.1130 | 552616.8739 | 599512.8389 | 1564617.5561 | 158.3333333 | 2022112204 | 2022121223 | 2025111000 | 2022120900 | 2020072207 | 2020052809 | 2020102205 | 2025022502 | 2020010104 | 2019123105 | 2022010202 | +1-800-298-6440 | 2019120602 | 2020101506 | 2025080606,Your@email.com | noc@bcgsearch.com,https://www.bcgsearch.com/contact.php,,https://www.facebook.com/BCGAttorneySearch | https://www.bcgsearch.com/ebooks.php,Fasig | Brooks Law Offices,"301 W Bay St Ste 1471-72, Jacksonville, FL 32202, USA",5,159,10,https://maps.google.com/?cid=1750263346787548766,ChIJ427C1-W35YgRXn6omD0vShg,https://fasigbrooks.com/personal-injury-lawyer/jacksonville/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Jacksonville&utm_id=GBP_Jacksonville,https://www.facebook.com/BCGAttorneySearch,https://www.linkedin.com/company/bcg-attorney-search/,https://www.instagram.com/bcg_attorney_search/,https://twitter.com/BCGAttorneyJobs,4,0.0,0.0,0.17,0,0,0,-86.949,2025-10-16,43,268,"Best Law Firms in Jacksonville, FL","Find the best law firms in Jacksonville,FL, search by practice areas near me on BCGSearch.com.",1454,226,41,35,80.0,yes,yes,no,0,30000,0,0.0,0.0,0,0.0,,,10,0.303,1,['noc@bcgsearch.com'],1,100,100,Tier 1,web_scraping,2026-02-18T06:20:16.598898Z,2026-02-18,1,https://maps.google.com/?cid=1750263346787548766,5,0,1,159
Pajcic & Pajcic,"1 Independent Dr #1900, Jacksonville, FL 32202, USA",pajcic.com,https://www.pajcic.com/,Jacksonville Personal Injury Law Firm | Pajcic & Pajcic,law firms jacksonville fl,2021060711 | 9043588881 | 904-358-8881 | 14889940859 | 2022021811 | 2024111811 | 2023012315 | 16451992787 | 15877469908 | 2022092717 | 16643132655 | 2022021813 | 2021081912 | 2023102411 | 2023102317 | 2025062615 | 2025013110 | 2022081910 | 2022081913 | 2022082611 | 2022082511 | 2022082512 | 2023020715 | 2023020716 | 2023071413 | 2025121112 | 904-354-1180 | 1765411045,tom@pajcic.com | latesha@pajcic.com | cameron@pajcic.com | meredith@pajcic.com,https://www.pajcic.com/contact-us/,https://media.pajcic.com/wp-content/uploads/20210607114822/default-social-preview.jpg,https://www.facebook.com/pajciclaw/,Pajcic & Pajcic,"1 Independent Dr #1900, Jacksonville, FL 32202, USA",4,703,10,https://maps.google.com/?cid=4801062602775937470,ChIJKYuGUBe35YgRvkHfBgDNoEI,https://www.pajcic.com/,https://www.facebook.com/pajciclaw/,https://www.linkedin.com/company/pajcic-&-pajcic,https://www.instagram.com/pajcicandpajcic/,https://twitter.com/Pajcic_Pajcic,4,0.0,0.0,0.17,0,0,0,0.0,2026-01-30,25,86,"When you care, it shows","Do you need a car accident attorney? For over 50 years, the personal injury lawyers at the Law Firm of Pajcic & Pajcic have helped individuals and families throughout the Jacksonville area during their most difficult times.",1479,70,8,63,98.41,no,yes,yes,0,30000,0,0.0,0.0,0,0.0,,,10,0.0,10,"['tom@pajcic.com', 'latesha@pajcic.com', 'cameron@pajcic.com', 'meredith@pajcic.com']",4,100,100,Tier 1,web_scraping,2026-02-18T06:21:22.480973Z,2026-02-18,1,https://maps.google.com/?cid=4801062602775937470,4.9,0,1,703
"Law Offices of Sacks & Sacks, P.A.","1646 Emerson St Ste B, Jacksonville, FL 32207, USA",familylawyerjax.com,https://familylawyerjax.com/,Affordable Family Law Attorneys In Jacksonville FL - Sasso Guerrero & Henderlite,law firms jacksonville fl,2134034713 | 1.5114562269 | +1-904-619-1386 | 1763019967 | 1770788926 | (904) 619-1386 | +1-206-622-6562 | +19046191386 | 3036216802 | 2130706765 | 19046191386 | 9048448026 | (904) 844-8026 | 18745186898,info@familylawyerjax.com | christie@familylawyerjax.com,https://familylawyerjax.com/contactus/,https://familylawyerjax.com/wp-content/uploads/2024/09/sasso-guerrero-henderlite-florida-family-lawyers3team.jpg,https://www.facebook.com/SGHLaw,Sasso Guerrero & Henderlite,"9191 R G Skinner Pkwy Suite 703, Jacksonville, FL 32256, USA",4,192,10,https://maps.google.com/?cid=9093745068328887494,ChIJJYXWUEo15IgRxiS0e_V4M34,https://familylawyerjax.com/jacksonville-southside/,https://www.facebook.com/SGHLaw,,https://www.instagram.com/sghfamlaw/,https://familylawyerjax.com/ | https://familylawyerjax.com/practice-areas/ | https://familylawyerjax.com/practice-areas/adoption/ | https://familylawyerjax.com/practice-areas/alimony/ | https://familylawyerjax.com/practice-areas/divorce/annulment/ | https://familylawyerjax.com/practice-areas/art-law/ | https://familylawyerjax.com/practice-areas/child-custody/ | https://familylawyerjax.com/practice-areas/child-support/ | https://familylawyerjax.com/practice-areas/collaborative-divorce/ | https://familylawyerjax.com/practice-areas/divorce/ | https://familylawyerjax.com/practice-areas/lgbtq/ | https://familylawyerjax.com/practice-areas/mediations/ | https://familylawyerjax.com/practice-areas/divorce/military-divorce/ | https://familylawyerjax.com/practice-areas/modifications/ | https://familylawyerjax.com/practice-areas/parenting-plans/ | https://familylawyerjax.com/practice-areas/paternity/ | https://familylawyerjax.com/practice-areas/pre-post-nuptial-agreements/ | https://familylawyerjax.com/practice-areas/relative-caregiver-actions/ | https://familylawyerjax.com/meet-the-attorneys/ | https://familylawyerjax.com/attorneys/about-mollysasso/ | https://familylawyerjax.com/attorneys/about-christie-guerrero/ | https://familylawyerjax.com/attorneys/jay-henderlite/ | https://familylawyerjax.com/attorneys/paula-bartlett/ | https://familylawyerjax.com/attorneys/about-heather-visali/ | https://familylawyerjax.com/attorneys/about-deanne-castro/ | https://familylawyerjax.com/attorneys/about-keanna-broadie/ | https://familylawyerjax.com/attorneys/josh-kelne/ | https://familylawyerjax.com/attorneys/about-heather-masse/ | https://familylawyerjax.com/attorneys/about-obinna-anum/ | https://familylawyerjax.com/attorneys/about-neil-t-kush/ | https://familylawyerjax.com/areas-we-serve/ | https://familylawyerjax.com/areas-we-serve/clay-county/ | https://familylawyerjax.com/areas-we-serve/duval-county/ | https://familylawyerjax.com/areas-we-serve/nassau-county/ | https://familylawyerjax.com/areas-we-serve/st-johns-county/ | https://familylawyerjax.com/areas-we-serve/fernandina-beach-fl/ | https://familylawyerjax.com/areas-we-serve/jacksonville-fl/ | https://familylawyerjax.com/areas-we-serve/jacksonville-beach-fl/ | https://familylawyerjax.com/areas-we-serve/orange-park-fl/ | https://familylawyerjax.com/areas-we-serve/family-lawyer-ponte-vedra-beach/ | https://familylawyerjax.com/areas-we-serve/st-augustine-fl/ | https://familylawyerjax.com/areas-we-serve/st-johns-fl/ | https://familylawyerjax.com/topics-news/ | https://familylawyerjax.com/meet-our-team/ | https://familylawyerjax.com/split-happens-divorce-podcast/ | https://familylawyerjax.com/category/when-split-happens/ | https://familylawyerjax.com/contactus/ | https://familylawyerjax.com/careers/ | https://familylawyerjax.com/website-privacy-policy/ | https://familylawyerjax.com/wp-content/uploads/2020/07/Board-Certified-banner-SASSO-1.jpg | https://familylawyerjax.com/wp-content/uploads/2024/09/sasso-guerrero-henderlite-florida-family-lawyers4152.jpg | https://familylawyerjax.com/military-divorce-in-florida-when-split-happens-ep-9/ | https://familylawyerjax.com/unmarried-fathers-rights-in-florida-when-split-happens-ep-8/ | https://familylawyerjax.com/navigating-fear-and-anxiety-during-divorce/ | https://familylawyerjax.com/category/split-happens/ | https://familylawyerjax.com/terms-and-conditions-of-use/,3,0.0,0.0,0.17,0,0,0,65.7636,2026-01-16,18,161,"Affordable Family Lawyers in Jacksonville, FL","Looking for affordable family law attorneys in Jacksonville FL? The lawyers at Sasso Guerrero & Henderlite are board-certified advocates, divorce, custody, adoptions, etc.",1453,118,26,20,100.0,yes,yes,yes,0,30000,0,0.0,0.0,0,0.0,,,10,0.6061,6,['christie@familylawyerjax.com'],1,100,100,Tier 1,web_scraping,2026-02-18T06:22:28.720511Z,2026-02-18,1,https://maps.google.com/?cid=16287437567509942452,4.6,0,1,219
"Jimenez Law Firm, P.A.","1443 San Marco Blvd Suite 201, Jacksonville, FL 32207, USA",jimenez-lawfirm.com,https://www.jimenez-lawfirm.com/,Florida Personal Injury Attorneys | Trusted Accident Lawyers for Your Recovery | Jimenez Law Firm,law firms jacksonville fl,1768555839 | 1770368936 | 1743039948 | 1743039955 | (904) 559-5600 | 4924888667 | +1(904) 559-5600 | 110220.7641 | 1.7375067989 | 3111701173 | 17346965219 | (904) 212-2900 | 1770368937,taj@jimenez-lawfirm.com,https://www.jimenez-lawfirm.com/contact/,https://www.jimenez-lawfirm.com/wp-content/uploads/2024/12/jimenez-law-firm-logo2.webp,https://www.facebook.com/JimenezLawFirmPA/,"Jimenez Law Firm, P.A.","1443 San Marco Blvd Suite 201, Jacksonville, FL 32207, USA",4,93,10,https://maps.google.com/?cid=492488866747472280,ChIJR5vZ5Ki35YgRmFlR1gOs1QY,https://www.jimenez-lawfirm.com/,https://www.facebook.com/JimenezLawFirmPA/,https://www.linkedin.com/company/jimenez-law-firm-p-a/,https://www.instagram.com/jimenezlaw/,,3,0.0,0.0,0.17,0,0,0,0.0,2025-07-14,22,394,"Jacksonville Personal Injury Lawyer - Jimenez Law Firm, P.A.","Injured in Florida? Jimenez Law Firm, is a Florida-based injury and accident legal team dedicated to securing your recovery. Call today for a free consultation!",3681,428,22,38,78.95,yes,yes,yes,0,30000,0,0.0,0.0,0,0.0,,https://www.jimenez-lawfirm.com/contact/,10,0.0,1,['taj@jimenez-lawfirm.com'],1,100,100,Tier 1,web_scraping,2026-02-18T06:22:23.411245Z,2026-02-18,1,https://maps.google.com/?cid=492488866747472280,4.9,0,1,93
Landes Criminal Defense Law Firm,"736 2nd St N, Jacksonville Beach, FL 32250, USA",landeslaw.com,https://www.landeslaw.com/,Criminal Defense Attorneys Jacksonville | Florida Criminal Defense Law Firm | The Law Office of Richard Landes,law firms jacksonville fl,(904) 343-4556 | +1-(904) 343-4556 | 904-343-4556 | 1979406539 | 652348-1600 | 779.8376589 | 17168425598 | 2602553638,,https://www.landeslaw.com/contact-us,https://www.landeslaw.com/sites/all/themes/slw_theme/images/logo.png,https://www.facebook.com/landeslaw/,Landes Criminal Defense Law Firm,"736 2nd St N, Jacksonville Beach, FL 32250, USA",5,34,3,https://maps.google.com/?cid=17533746774483414202,ChIJPR5ngQ635YgRuiy8KsthVPM,https://www.landeslaw.com/,https://www.facebook.com/landeslaw/,https://www.linkedin.com/in/richard-landes-3806201a/,,https://www.news4jax.com/news/local/2023/08/19/amanda-guthrie-found-not-guilty-of-most-serious-charges/,3,0.0,0.0,0.17,0,0,0,0.0,2025-10-02,21,30,Richard Landes - Criminal Defense,Jacksonville Criminal Defense Lawyer The Law Office of Richard Landes (904) 343-4556 Your Best Choice for Criminal Defense Attorney Representation,1326,76,5,22,100.0,no,yes,yes,94,30000,0,0.0,0.0,1,0.0,,,3,0.0,0,[],0,100,90,Tier 1,web_scraping,2026-02-18T06:24:30.562679Z,2026-02-18,1,https://maps.google.com/?cid=17533746774483414202,5,0,1,34
Campione Law P.A.,"501 W Bay St, Jacksonville, FL 32202, USA",campionelawpa.com,https://campionelawpa.com/,"Personal Injury Lawyers in Jacksonville – Campione Law, P.A. - Campione Law Pa",law firms jacksonville fl,17443359123 | 5427185463 | 9049908400 | (904) 990-8400 | 6666666666 | 3333333333 | 9950000000 | 6786678052 | 5670756660 | 7075666061 | 7075666062 | 15377075676 | 2670756766 | 3938337075 | 3770756767 | 0670756660 | 7075666260 | 7075676767 | 4442434861,,https://campionelawpa.com/contact-us/,https://campionelawpa.com/wp-content/uploads/2024/04/Top-Attorneys-of-North-America-Presidents-Circle.png,https://www.facebook.com/campionelawfirm/,Campione Law P.A.,"501 W Bay St, Jacksonville, FL 32202, USA",4,171,10,https://maps.google.com/?cid=11538433591591094371,ChIJkeLyqdjJ5YgRY8g44zfAIKA,https://campionelawpa.com/,https://www.facebook.com/campionelawfirm/,https://www.linkedin.com/company/campione-law-p.a-jacksonville-attorney/,,,2,0.0,0.0,0.17,0,0,0,0.1232,2026-01-23,21,125,,"Campione Law P.A. Jacksonville’s Premier Personal Injury and Insurance Law Firm

Address: 501 W. Bay St. Ste. 100 Jacksonville, FL 32202  Personal Injury · Car Accidents  · Truck Accidents  · MEDICAL MALPRACTICE  · Wrongful Death       Campione Law P.A. 
Jacksonville’s Premier Personal Injury and Insurance Law",3933,170,56,74,10.81,yes,yes,yes,0,30000,0,0.0,0.0,2,0.0,,https://campionelawpa.com/contact-us/,10,0.0,10,[],0,100,90,Tier 1,web_scraping,2026-02-18T06:24:36.176517Z,2026-02-18,1,https://maps.google.com/?cid=11538433591591094371,4.8,0,1,171
"Owenby Law, P.A.","6136 Atlantic Blvd, Jacksonville, FL 32211, USA",owenbylaw.com,https://www.owenbylaw.com/,"Owenby Law, P.A. | Jacksonville Lawyers",law firms jacksonville fl,3653909247 | 000.000.0000 | 000-000-0000 | 0000000000 | (000) 000-0000 | 2602130938 | 2402131215 | 9047703141 | 904-770-3141 | 1.2503171043 | (904) 770-3141 | 1.2402141158 | 2305260806 | 2508111516 | 2508111518 | 2508111521 | 2402141254 | 2508111615 | 1.2402141255 | 2508111629 | 2508111622 | 2402141259 | 2601151620 | 1.2402231137 | 1236117145 | 2510311232 | 1467910052 | 2510311231 | 1507253740 | 2507241612 | 1.2402141205 | 312079.2402 | 047761.2402 | 980730.2402 | 1315549447 | 2402081023 | 2306141514 | 16939210162 | 2003191630 | 19011509573 | 2003171140 | 19340178197 | 13539538637 | 13505801538 | 904-359-5115 | 2412171244 | 2511181533 | 15911249442,joy@owenbylaw.com,,https://www.owenbylaw.com/assets/Social-Share.jpg,https://www.facebook.com/OwenbyLaw/,"Owenby Law, P.A.","6136 Atlantic Blvd, Jacksonville, FL 32211, USA",4,462,6,https://maps.google.com/?cid=169392101628798242,ChIJGRkLOi-05YgRImVXDTjNWQI,https://www.owenbylaw.com/?utm_source=gmb&utm_medium=organic&utm_campaign=Jacksonville,https://www.facebook.com/OwenbyLaw/,https://www.linkedin.com/company/owenby-law-llc/about/,,https://x.com/OwenbyLaw,3,0.0,0.0,0.33,1,0,0,0.0,2026-01-31,42,18,Jacksonville Full-Service Law Firm,"The Jacksonville attorneys at Owenby Law, P.A. have decades of experience & thousands of cases handled, from divorce to bankruptcy to criminal defense. Call for FREE initial 30-minute consultation!",2204,287,17,34,52.94,yes,yes,yes,0,30000,1,0.0,0.0,0,0.0,meta_ads,https://www.owenbylaw.com/contact-us/,6,0.0,2,['joy@owenbylaw.com'],1,100,100,Tier 1,web_scraping,2026-02-18T06:24:58.258757Z,2026-02-18,2,https://maps.google.com/?cid=169392101628798242,4.5,0,1,462
"Hall Booth Smith, P.C.","200 W Forsyth St Suite 400, Jacksonville, FL 32202, USA",hallboothsmith.com,https://hallboothsmith.com/law-offices/jacksonville-fl/,"Jacksonville, Florida, Office | HBS | Jacksonville Law Firm",law firms jacksonville fl,7589562065 | 3869956267 | (404) 954-5000 | 16970353187 | 16962612292 | 16734543530 | 16969692614 | 16962584144 | 16962597803 | 16962597427 | 16962597486 | 16962597560 | 16962584328 | 904.236.4929 | 904.236.4767 | 775.3216861 | 3273410000 | 16447910397 | 904.916.0526,marketing@hallboothsmith.com | gsessions@hallboothsmith.com | sbannon@hallboothsmith.com,,https://hallboothsmith.com/wp-content/uploads/2023/10/Jacksonville-002-Featured-Image.webp,https://www.facebook.com/HallBoothSmith,Smith Hulsey & Busey,"One Independent Dr #3300, Jacksonville, FL 32202, USA",4,10,10,https://maps.google.com/?cid=2474365301141741602,ChIJjUBgxRa35YgRIiAbsyG2ViI,https://www.smithhulsey.com/,https://www.facebook.com/HallBoothSmith,https://www.linkedin.com/company/hall-booth-smith-p-c-,https://www.instagram.com/hallboothsmith/,,3,0.0,0.0,0.17,0,0,0,0.0,2026-02-04,30,339,"Jacksonville, Florida","The Jacksonville, Florida, office of Hall Booth Smith is a full-service law firm delivering quality legal services in numerous practice areas | Jacksonville Law | Jacksonville Attorneys",954,322,9,8,100.0,yes,yes,yes,0,30000,0,0.0,0.0,0,0.0,,https://hallboothsmith.com/pricing,9,0.0,10,[],0,93,100,Tier 1,web_scraping,2026-02-18T06:20:15.553892Z,2026-02-18,1,https://maps.google.com/?cid=3439081712927447185,3.7,0,1,3
"Fisher, Tousey, Leas & Ball","501 Riverside Ave # 700, Jacksonville, FL 32202, USA",fishertousey.com,https://www.fishertousey.com/,Law Firm in North Florida | Fisher Tousey Attorneys at Law,law firms jacksonville fl,1743091527 | 14117647058 | (904) 356-2600 | (904) 355-0233 | (904) 285-2601 | (904) 285-5113 | (904) 829-9066 | (904) 825-4862 | (904) 819-6959 | (904) 819-6936 | (904) 321-1220 | 1143.423 -3402 | 865.649 3728 | 1139.583 3431 | 847.996 3121,mfisher@fishertousey.com | gorr@fishertousey.com,https://www.fishertousey.com/contact-us/,https://www.fishertousey.com/wp-content/uploads/2021/12/FT_OG_IMG.jpg,,"Fisher, Tousey, Leas & Ball","501 Riverside Ave # 700, Jacksonville, FL 32202, USA",4,11,8,https://maps.google.com/?cid=2772186593228466053,ChIJHw-n-G235YgRhad71ATJeCY,http://www.fishertousey.com/,,,,,0,0.0,0.0,0.17,0,0,0,0.0,2024-10-30,23,98,Build Your Business. Protect Your Wealth.,Contact us today to get started! We’ll review your needs and set up an initial consultation to see how we can best serve you. Call now!,740,75,9,11,0.0,yes,yes,yes,0,30000,0,0.0,0.0,0,0.0,,,8,0.0,10,"['mfisher@fishertousey.com', 'gorr@fishertousey.com']",2,86,100,Tier 1,web_scraping,2026-02-18T06:21:03.718325Z,2026-02-18,1,https://maps.google.com/?cid=2772186593228466053,4.5,0,1,11
Bedell Law Firm,"101 E Adams St, Jacksonville, FL 32202, USA",bedellfirm.com,https://www.bedellfirm.com/,Jacksonville Civil & Criminal Defense Attorneys | Bedell,law firms jacksonville fl,+19043530211 | 904.353.0211 | 17374078994 | 17374076091 | 17374077775 | +1904-353-0211 | 904-353-0211 | 904-353-9307 | 1767259442,,https://www.bedellfirm.com/contact-us/,https://www.bedellfirm.com/wp-content/uploads/2021/12/Bedell-Firm-Office-02.jpg,https://www.facebook.com/thebedellfirm,Bedell Law Firm,"101 E Adams St, Jacksonville, FL 32202, USA",5,4,3,https://maps.google.com/?cid=10899862968317724876,ChIJp13PrBm35YgRzEgDp54XRJc,https://www.bedellfirm.com/,https://www.facebook.com/thebedellfirm,https://www.linkedin.com/company/the-bedell-firm/,,,2,0.0,0.0,0.17,0,0,0,0.0,2024-06-22,21,179,"BEDELL, DITTMAR, DEVAULT, PILLANS & COXE, P.A.","As Florida’s oldest law firm in continuous existence, Bedell carries a tradition of litigation excellence in both state and federal courts.",513,159,4,22,81.82,yes,yes,yes,0,7500,0,0.0,0.0,0,0.0,,,3,0.0,10,[],0,83,90,Tier 1,web_scraping,2026-02-18T06:23:29.005201Z,2026-02-18,1,https://maps.google.com/?cid=10899862968317724876,5,0,1,4
